qid,condition,human,Qwen2.5-14B-Instruct/v1,Qwen2.5-14B-Instruct/v2,Atlas-Chat-9B/v1,Atlas-Chat-9B/v2
w096,A,1,1,1,1,1
w016,A,0,0,1,0,0
w031,A,1,1,1,1,1
w159,A,1,1,1,1,1
w129,A,1,1,1,1,1
w116,A,1,1,1,1,1
w070,A,0,0,1,0,0
w171,A,1,1,1,1,1
w175,A,1,1,1,1,1
w046,A,1,1,1,1,1
w067,A,1,1,1,1,1
w183,A,1,1,1,1,1
w096,B,1,1,1,1,1
w016,B,1,1,1,0,0
w031,B,1,1,1,1,1
w159,B,0,0,0,0,0
w129,B,0,1,1,0,0
w116,B,1,1,1,1,1
w070,B,0,0,0,0,0
w171,B,0,0,0,0,0
w175,B,1,1,1,1,1
w046,B,1,1,1,1,1
w067,B,1,1,1,1,1
w183,B,1,1,1,1,1
w096,C,1,0,1,1,1
w016,C,0,0,0,0,0
w031,C,1,1,1,1,1
w159,C,0,0,0,0,0
w129,C,0,1,0,0,0
w116,C,1,1,1,1,1
w070,C,0,0,0,0,0
w171,C,0,0,0,0,0
w175,C,0,0,1,0,0
w046,C,1,0,0,0,0
w067,C,1,1,1,1,1
w183,C,0,0,0,0,0
w096,D,1,1,1,1,1
w016,D,1,0,0,0,1
w031,D,1,1,1,1,1
w159,D,0,0,0,0,0
w129,D,0,1,1,0,0
w116,D,1,1,1,1,1
w070,D,0,0,0,0,0
w171,D,1,1,1,1,1
w175,D,1,1,1,1,1
w046,D,1,1,1,1,1
w067,D,1,1,1,1,1
w183,D,1,0,0,0,0
w096,E,1,1,1,1,1
w016,E,1,0,0,0,0
w031,E,0,0,1,0,0
w159,E,1,0,0,0,0
w129,E,0,1,1,0,0
w116,E,1,1,1,1,1
w070,E,1,1,1,1,1
w171,E,0,0,0,1,1
w175,E,1,1,1,1,1
w046,E,1,1,1,1,1
w067,E,1,1,1,1,1
w183,E,0,1,1,1,1
w096,F,1,0,1,1,1
w016,F,0,0,1,0,0
w031,F,1,1,1,1,1
w159,F,0,0,0,0,0
w129,F,0,1,0,0,0
w116,F,1,1,1,1,1
w070,F,1,0,0,0,0
w171,F,0,0,0,0,0
w175,F,1,1,1,1,1
w046,F,1,1,1,1,1
w067,F,1,1,1,1,1
w183,F,1,1,1,1,1
w096,G,1,0,1,1,1
w016,G,0,0,1,0,0
w031,G,1,1,1,1,1
w159,G,0,0,0,0,0
w129,G,0,1,0,0,0
w116,G,1,1,1,1,1
w070,G,1,0,0,0,0
w171,G,0,0,0,0,0
w175,G,1,1,1,1,1
w046,G,1,1,1,1,1
w067,G,1,1,1,1,1
w183,G,1,1,1,1,1
w096,H,1,0,1,1,1
w016,H,0,0,1,0,0
w031,H,1,1,1,1,1
w159,H,1,1,1,1,1
w129,H,0,1,1,0,0
w116,H,1,1,1,1,1
w070,H,0,0,0,0,0
w171,H,0,0,0,0,0
w175,H,1,1,1,1,1
w046,H,1,1,1,1,1
w067,H,1,1,1,1,1
w183,H,1,1,1,1,1
