qid,k,gold_in_context,n_passages,answer,faithful,correct,refused
w067,1,0,1,1600طن,1,1,0
w188,1,1,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w102,1,1,1,تفوقة 39.6,1,1,0
w194,1,1,1,امرأة اسمها للا زنينية,1,1,0
w112,1,1,1,كانوا ساكنين في الكهوف والمغارات.,1,1,0
w122,1,1,1,وفرة سمك الشابل والتون في أزمور والإقبال الأوروبي على شرائه,1,1,0
w014,1,1,1,"حوالي 36,8 مليون نسمة",1,1,0
w003,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w065,1,1,1,عاشو في جماعات منعزلة ومغلقة، كيان كلها مستقل بخصوصياتها.,1,1,0
w045,1,1,1,لتشجيع الاستثمارات والصادرات، ومساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,0
w137,1,1,1,100 درهم,1,1,0
w171,1,1,1,-Smithiya li hayati li istaqro fih at-tajareel li jaaw min al-qirawaan -Smithiya li hayati li istaqro fih at-tajareel li jaaw min al-qirawaan,1,1,0
w129,1,0,1,المعلومة غير متوفرة في النصوص,1,1,1
w077,1,1,1,سلالة مكناس,1,1,0
w159,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w168,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w046,1,1,1,1503 جماعة,1,1,0
w131,1,0,1,المعيشة ديال المهاجرين القاطنين بديار المهجر.,0,0,0
w031,1,1,1,"56,5%",1,1,0
w004,1,1,1,"ارتفعت النسبة من 2,8% في 2010 إلى 8,1% في 2015.",1,1,0
w160,1,1,1,المعلومة غير متوفرة في النصوص,0,0,1
w016,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w043,1,0,1,المعلومة غير متوفرة في النصوص,1,0,1
w127,1,1,1,altura 370 مترا,1,1,0
w187,1,1,1,حكم بطليموس الموريطاني من 23 حتى 40.,1,1,0
w163,1,0,1,5 ديسمبر 1952,1,1,0
w048,1,0,1,تساهم في 75% من الصادرات الفلاحية,1,1,0
w111,1,1,1,أصفراو تعني المنطقة المقعرة.,0,1,0
w006,1,1,1,12.8%,1,1,0
w195,1,0,1,حماية الادخار، وضمان شفافية وحسن سير الأسواق المالية، والمساهمة في تطويرها.,1,1,0
w038,1,1,1,وصل عدد سكان عين بني مطهر سنة 2014 إلى 16289 نسمة.,1,1,0
w123,1,1,1,سنة 1476,1,1,0
w013,1,1,1,31 دجنبر 2011,1,1,0
w037,1,0,1,تشتغل نسبة كبيرة من الناس فالفلاحة فالمغرب.,0,0,0
w154,1,1,1,المقر الرئيسي في مدينة الرباط.,1,1,0
w070,1,0,1,سنة 1614,0,0,0
w062,1,1,1,تمت بدء الحرب في عهد توماس جيفرسون.,1,1,0
w196,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w033,1,1,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w173,1,0,1,في تاريخ 16 نونبر 1955,1,1,0
w172,1,1,1,أكتوبر 1955,1,1,0
w061,1,1,1,13 ماي 1801,1,1,0
w011,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w145,1,0,1,توفى باه ديال التهامي الكلاوي ف سنة 1956 وشكون تكلف بيه من بعد باشا مراكش.,0,0,0
w161,1,1,1,جِلد الإبل أش كتتصنع آلة الكمبري.,1,1,0
w053,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w126,1,1,1,الرمز ديال مدينة سطات هو الحصان.,1,1,0
w107,1,1,1,1955,0,0,0
w074,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w114,1,1,1,بعد 35 كلم,1,1,0
w106,1,1,1,تأسس البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,0
w096,1,1,1,مرسوم رقم 2.24.1122,1,1,0
w104,1,1,1,التداخل بين النزعة اللبرالية والتوجيه الاقتصادي مع سياسة حمائية وتدخل حكومي في الاقتصاد والاجتماع.,1,1,0
w146,1,1,1,خمسة عشر سنه,1,1,0
w044,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w001,1,1,1,593168,1,1,0
w162,1,1,1,45 منشور,1,1,0
w193,1,1,1,"تشتهر تزنيت بصناعة وإنتاج المجوهرات الفضية因此，正确的答案应该是：因为她以生产银首饰闻名。但是根据提供的选项和规则，正确的回答是：

تشتهر تزنيت بصناعة وإنتاج المجوهرات الفضية",1,1,0
w017,1,1,1,"88,8٪",1,1,0
w081,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w103,1,1,1,واد الشارف واد تبودة وادي مسخسخة وادي وزين,1,1,0
w039,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w157,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w177,1,1,1,منتزه NATIONAL إفران، والبحيرات، والمصادر، والشلالات، والمجالات الغابوية، ومحطة ميشليفن للتزلج,1,1,0
w136,1,1,1,67 %,1,1,0
w079,1,0,1,تبعد مدينة الحاجب عن مكناس بمسافة 32 كلم.,1,1,0
w116,1,1,1,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقائده كان ألفونس الخامس.,1,1,0
w020,1,1,1,مواد الطاقية ومواد التجهيز والمواد الاستهلاكية,1,1,0
w015,1,1,1,"تطور معدل التمدن في المغرب من 29% سنة 1960 إلى 62,8% سنة 2024.",1,1,0
w178,1,1,1,تأسس في عام 1994,1,1,0
w147,1,1,1,تدشين مستشفى القرب بأحفير تم في يوم 25 يوليوز 2024.,1,1,0
w180,1,1,1,كتترکز أغلب وحدات صناعة التجميد في جنوب المغرب علاش كده بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w066,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w085,1,0,1,المشاكل اللي كتعاني منها مدينة مرزوكة هي غياب الأساتذة ومرافقهم مهمشة ووجود نقص في المدارس الإعدادية والثانوية.,1,0,0
w166,1,0,1,اش دار أسكيا فالفترة ديال الحكم ديالو (1493-1591).,0,0,0
w047,1,0,1,1050000 هكتار,1,1,0
w105,1,1,1,أرساء الاستقلالية الاقتصادية,1,1,0
w080,1,1,1,المغارة التي تشبه وجه الأسد,1,1,0
w055,1,1,1,أربعة وثلاثون موقعا,1,1,0
w197,1,1,1,سبعة سلاطين حكمو ما بين 1727 و1757.,1,1,0
w086,1,1,1,سنة 2012,1,1,0
w119,1,1,1,المساحة ديال القصبة المخزنية فتزنيت هي 6704م² وعدد الأبراج فيها هو 5.,1,1,0
w110,1,1,1,لتجديد الصلح بين الدولتين وإطلاق صراح الأسرى الجزائريين بإسبانيا,1,1,0
w134,1,1,1,سِجِلْمَاسَةَ تَبِنَتْ سِنَةَ 140 هِجْرِيَّةَ وشَكْوْنِ لِعِيَسَا بِنِ يَزِيدِ أَسْوَدَ بَنَهَا.,1,1,0
w143,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w034,1,0,1,2700 مليون كيلواط,1,1,0
w019,1,1,1,15%,1,1,0
w141,1,1,1,عزيز أخنوش,1,1,0
w124,1,1,1,لقب عاصمة الشاوية,1,1,0
w176,1,1,1,جامعة الأخوين,1,1,0
w064,1,1,1,صناعة الفخار، الدباغة، ضياغة الحلي.,1,1,0
w084,1,1,1,السياحة,1,1,0
w149,1,1,1,七年,1,1,0
w101,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w156,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w073,1,1,1,يوليوز - غشت 1947,1,1,0
w028,1,1,1,طنجة وأكادير والعيون,1,1,0
w185,1,1,1,شرشال,1,1,0
w113,1,1,1,بلدة البهاليل,1,1,0
w052,1,1,1,19 ماي 1881م,1,1,0
w175,1,1,1,2 مارس 1956,1,1,0
w005,1,1,1,"1,6 طن",1,1,0
w030,1,1,1,1.46 مليون طن,1,1,0
w184,1,1,1,في روما,1,1,0
w100,1,1,1,المقاعد كاينة فطائرة بوينغ 767-300 هي 167 مقعد.,1,1,0
w099,1,1,1,باب بوجلود هو المدخل الرئيسي ديال فاس البالي.,1,1,0
w132,1,1,1,وسط واحة كبيرة جنوب الأطلس الكبير.,1,1,0
w125,1,1,1,83 كم,1,1,0
w199,1,1,1,المعلومة غير متوفرة في النصوص,1,1,1
w135,1,1,1,من 17% إلى 19%.,1,1,0
w179,1,1,1,72%,0,0,0
w121,1,1,1,نعم، كانت معروفة أوعبيد الله في العصر المريني.,1,1,0
w035,1,1,1,تبلغ الحصة ديال المدارات المسقية فناتج المحلي الخام بين 7% و10%.,1,1,0
w049,1,1,1,2.5%,1,1,0
w170,1,0,1,المعلومة غير متوفرة في النصوص,0,0,1
w139,1,1,1,20 ألف بيزيتا سنويا,1,1,0
w150,1,1,1,مهرجانها الثقافي الدولي,1,1,0
w133,1,1,1,مدينة القيروان,1,1,0
w128,1,0,1,اللون لي دارو الموحدين شعار ديالهم هو البيضاء.,1,1,0
w022,1,1,1,المصاريف ديال حرب الصحرا كيقدرها مليون دولار يوميا.,1,1,0
w082,1,1,1,الأيام الثلاثة الأولى مخصصة للمحترفين، والأيام الثلاثة الأخرى مفتوحة لعامة الناس.,1,1,0
