encoder,subset,variant,alpha,R@1,R@3,R@5,R@10,MRR
GATE-AraBert-v1,wikipedia,msa_query,0.0,0.665,0.865,0.91,0.94,0.770484126984127
GATE-AraBert-v1,wikipedia,darija_query,0.0,0.545,0.705,0.775,0.865,0.6456031746031746
GATE-AraBert-v1,wikipedia,M4_rulebased,0.0,0.525,0.695,0.775,0.85,0.6287698412698413
GATE-AraBert-v1,wikipedia,M3_rule_expansion,0.0,0.54,0.71,0.775,0.86,0.6422043650793651
GATE-AraBert-v1,pilot,msa_query,0.0,0.8033333333333333,0.88,0.9033333333333333,0.9233333333333333,0.8482301587301587
GATE-AraBert-v1,pilot,darija_query,0.0,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
GATE-AraBert-v1,pilot,M4_rulebased,0.0,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
GATE-AraBert-v1,pilot,M3_rule_expansion,0.0,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
GATE-AraBert-v1,wikipedia,msa_query,0.2,0.72,0.9,0.92,0.945,0.8099166666666666
GATE-AraBert-v1,wikipedia,darija_query,0.2,0.56,0.75,0.815,0.875,0.6655297619047619
GATE-AraBert-v1,wikipedia,M4_rulebased,0.2,0.55,0.75,0.81,0.865,0.6562003968253969
GATE-AraBert-v1,wikipedia,M3_rule_expansion,0.2,0.57,0.755,0.815,0.87,0.6715436507936507
GATE-AraBert-v1,pilot,msa_query,0.2,0.8233333333333334,0.9133333333333333,0.92,0.93,0.868531746031746
GATE-AraBert-v1,pilot,darija_query,0.2,0.64,0.78,0.8,0.84,0.7117010582010582
GATE-AraBert-v1,pilot,M4_rulebased,0.2,0.5933333333333334,0.7466666666666667,0.79,0.8233333333333334,0.6729973544973544
GATE-AraBert-v1,pilot,M3_rule_expansion,0.2,0.61,0.77,0.7966666666666666,0.83,0.690128306878307
GATE-AraBert-v1,wikipedia,msa_query,0.4,0.74,0.89,0.93,0.965,0.8241805555555556
GATE-AraBert-v1,wikipedia,darija_query,0.4,0.59,0.775,0.835,0.895,0.695220238095238
GATE-AraBert-v1,wikipedia,M4_rulebased,0.4,0.59,0.76,0.825,0.9,0.692140873015873
GATE-AraBert-v1,wikipedia,M3_rule_expansion,0.4,0.6,0.78,0.835,0.89,0.6998154761904761
GATE-AraBert-v1,pilot,msa_query,0.4,0.8466666666666667,0.9233333333333333,0.9366666666666666,0.9466666666666667,0.8853888888888889
GATE-AraBert-v1,pilot,darija_query,0.4,0.6933333333333334,0.8166666666666667,0.8266666666666667,0.86,0.755808201058201
GATE-AraBert-v1,pilot,M4_rulebased,0.4,0.65,0.79,0.82,0.8433333333333334,0.7244074074074074
GATE-AraBert-v1,pilot,M3_rule_expansion,0.4,0.68,0.8133333333333334,0.83,0.8633333333333333,0.7487817460317461
