qid,condition,gold_answer,model_answer,llm_correct,human_correct
w096,A,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,1,1
w016,A,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,0,0
w031,A,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.",56.50%,1,1
w159,A,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",عقلانية في التدبير ومعالجة التلوث,1,1
w129,A,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,"ينسب إلى المرابطين استعمال راية سوداء ذات كتابات أو زخارف ذهبية، رابطًا اللون الأسود باعترافهم الاسمي بشرعية الخلافة العباسية.",1,1
w116,A,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م بقيادة ألفونس الخامس.,1,1
w070,A,غيروا اسمه إلى سان ميغيل دي أولطرامار.,المعلومة غير متوفرة في النصوص,0,0
w171,A,الحي المعروف باسم حي القيروانيين.,حي القيروانيين,1,1
w175,A,في 2 مارس 1956.,2 مارس 1956,1,1
w046,A,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",1503,1,1
w067,A,تصل سعتها إلى 1600 طن.,سعة وحدة التبريد المخصصة للحفاظ على التفاح تصل إلى 1600 طن.,1,1
w183,A,لم تخمد إلا على يد الإمبراطور كلوديوس.,الإمبراطور كلوديوس,1,1
w096,B,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,1,1
w016,B,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,1,1
w031,B,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.",56.50%,1,1
w159,B,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",المعلومة غير متوفرة في النصوص,0,0
w129,B,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,B,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقادة الحملة كان الملك ألفونس الخامس.,1,1
w070,B,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سنة 1614,0,0
w171,B,الحي المعروف باسم حي القيروانيين.,#NAME?,1,0
w175,B,في 2 مارس 1956.,2 مارس 1956,1,1
w046,B,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",عدد الجماعات فالمغرب فـ2009 بلغ 1503 جماعة.,1,1
w067,B,تصل سعتها إلى 1600 طن.,1600طن,1,1
w183,B,لم تخمد إلا على يد الإمبراطور كلوديوس.,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1
w096,C,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,0,1
w016,C,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,0,0
w031,C,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.","56,5%",1,1
w159,C,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",المعلومة غير متوفرة في النصوص,0,0
w129,C,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,C,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقائده كان ألفونس الخامس.,1,1
w070,C,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سنة 1614,0,0
w171,C,الحي المعروف باسم حي القيروانيين.,#NAME?,0,0
w175,C,في 2 مارس 1956.,المعلومة غير متوفرة في النصوص,0,0
w046,C,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",1544 جماعة,0,1
w067,C,تصل سعتها إلى 1600 طن.,1600طن,1,1
w183,C,لم تخمد إلا على يد الإمبراطور كلوديوس.,كاليغولا,0,0
w096,D,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,1,1
w016,D,"بلغ 0,85% فقط خلال الفترة 2014–2024.","انخفض تدريجياً من 2,6% إلى 0,85%.",0,1
w031,D,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.",56.50%,1,1
w159,D,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",مصادر الطاقة محدودة,0,0
w129,D,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,D,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقادة الحملة كانت عبارة عن ألفونس الخامس.,1,1
w070,D,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سنة 1614,0,0
w171,D,الحي المعروف باسم حي القيروانيين.,حي القيروانيين,1,1
w175,D,في 2 مارس 1956.,2 مارس 1956,1,1
w046,D,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",وصل عدد الجماعات في المغرب إلى 1503 جماعة في 2009.,1,1
w067,D,تصل سعتها إلى 1600 طن.,1600 طن,1,1
w183,D,لم تخمد إلا على يد الإمبراطور كلوديوس.,ألفريد كلوديوس,0,1
w096,E,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,1,1
w016,E,"بلغ 0,85% فقط خلال الفترة 2014–2024.","انخفض تدريجياً من 2,6% إلى 0,85%.",0,1
w031,E,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.",المعلومة غير متوفرة في النصوص,0,0
w159,E,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",ثقل الأعباء الطاقية والمديونية العمومية,0,1
w129,E,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,E,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقادة الجيش كانون Alfonsus V.,1,1
w070,E,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سان ميغيل دي أولطرامار,1,1
w171,E,الحي المعروف باسم حي القيروانيين.,-Smithiya li hayy tajareen jao min el qirawn ithaqa jami'a fi shuyub il-nahr fi madinatun taniya.,0,0
w175,E,في 2 مارس 1956.,2 مارس 1956,1,1
w046,E,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",وصل عدد الجماعات في المغرب فـ2009 إلى 1503 جماعة.,1,1
w067,E,تصل سعتها إلى 1600 طن.,1600 طن,1,1
w183,E,لم تخمد إلا على يد الإمبراطور كلوديوس.,Claudius,1,0
w096,F,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,0,1
w016,F,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,0,0
w031,F,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.","56,5%",1,1
w159,F,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",المعلومة غير متوفرة في النصوص,0,0
w129,F,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,F,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقائده كان ألفونس الخامس.,1,1
w070,F,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سنة 1614,0,1
w171,F,الحي المعروف باسم حي القيروانيين.,#NAME?,0,0
w175,F,في 2 مارس 1956.,2 مارس 1956,1,1
w046,F,"بلغ عدد الجماعات 1503 جماعة، منقسمة إلى 221 جماعة حضرية و1282 جماعة قروية.",1503 جماعة,1,1
w067,F,تصل سعتها إلى 1600 طن.,1600طن,1,1
w183,F,لم تخمد إلا على يد الإمبراطور كلوديوس.,على يد الإمبراطور كلوديوس خمدت ثورة إيديمون.,1,1
w096,G,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم رقم 2.24.1122,0,1
w016,G,"بلغ 0,85% فقط خلال الفترة 2014–2024.",المعلومة غير متوفرة في النصوص,0,0
w031,G,"بلغت مشاركة الخدمات 56,5% من الناتج المحلي الإجمالي سنة 2017.","56,5%",1,1
w159,G,"ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.",المعلومة غير متوفرة في النصوص,0,0
w129,G,مراعاة للعباسيين الذين اعترف المرابطون بسلطتهم الرمزية.,المعلومة غير متوفرة في النصوص,1,0
w116,G,في 23 أكتوبر 1458م بقيادة ألفونس الخامس.,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م وقائده كان ألفونس الخامس.,1,1
w070,G,غيروا اسمه إلى سان ميغيل دي أولطرامار.,سنة 1614,0,1
