qid,cond,context,answer,gold_in_context,generator,faithful,correct,judge_parsed,judge_raw,correct_oldjudge,faithful_oldjudge,judge_version,refused
w001,A,"['wiki_02359', 'wiki_00355', 'wiki_01293', 'wiki_01284', 'wiki_00442']",593 168 وحدة,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w002,A,"['wiki_02359', 'wiki_00355', 'wiki_01492', 'wiki_00247', 'wiki_00583']",مصنع رينو-نيسان في طنجة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w003,A,"['wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01296', 'wiki_01417']","نسبة الطاقات المتجددة في توليد الكهرباء بالمغرب هي %13,6.",1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",0,0,Atlas-Chat-9B/v2,0
w004,A,"['wiki_01012', 'wiki_01297', 'wiki_01418', 'wiki_01011', 'wiki_01021']","نسبة الاعتماد على الطاقة الريحية تطورت من %2,8 سنة 2010 إلى %8,1 سنة 2015.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w005,A,"['wiki_01012', 'wiki_01011', 'wiki_01014', 'wiki_01255', 'wiki_00432']","بلغت انبعاثات ثاني أكسيد الكربون 1,6 طن للفرد الواحد في عام 2015.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w006,A,"['wiki_00564', 'chunk_011', 'wiki_00563', 'wiki_00453', 'wiki_00291']","معدل البطالة على المستوى الوطني خلال الفصل الثاني من سنة 2025 بلغ 12,8%.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w007,A,"['wiki_00564', 'wiki_01369', 'wiki_00290', 'wiki_00417', 'wiki_01408']",رئيس المندوبية السامية للتخطيط هو شكيب بنموسى.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w008,A,"['wiki_00564', 'chunk_011', 'wiki_00291', 'wiki_00453', 'wiki_00563']",معدل البطالة بالوسط القروي تطور من 10.5% في 2014 إلى 21.4% في 2024.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w009,A,"['wiki_02608', 'wiki_02609', 'wiki_01173', 'wiki_01361', 'wiki_00433']",المعلومة غير متوفرة في النصوص.,1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",1,0,Atlas-Chat-9B/v2,1
w010,A,"['wiki_02608', 'wiki_02609', 'wiki_02607', 'wiki_00578', 'wiki_01651']",عجز الموازنة العامة تراجع في 2017، فيما لم يكفِ التحسُّن الطفيف في الصادرات لتقليص عجز الميزان التجاري نظراً لزيادة الواردات.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",0,0,Atlas-Chat-9B/v2,0
w011,A,"['wiki_00563', 'wiki_00453', 'wiki_00564', 'chunk_011', 'wiki_02608']",نسبة البطالة لدى النساء بلغت 14.7% حسب تقرير البنك الدولي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w012,A,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02229', 'wiki_02224']",قد فقدات الأوراق البنكية القديمة قدرتها الإبرائية منذ فاتح أبريل 1998.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w013,A,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02231', 'wiki_02224']",استمر تبديل هاد الأوراق البنكية، اللي انتهى تداولها القانوني وفقدت قدرتها الإبرائية من بعد 1 أبريل 1998، بلا حدود في شبابيك بنك المغرب حتى ل 31 دجنبر 2011.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w014,A,"['wiki_02691', 'wiki_02693', 'chunk_002', 'wiki_01303', 'wiki_02692']",حسب النصوص، عدد سكان المغرب سنة 2024 كان تقريباً 36.8 مليون نسمة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w015,A,"['wiki_02691', 'wiki_00564', 'wiki_00582', 'wiki_00563', 'wiki_02607']","معدل التمدن في المغرب ارتفع من 29% سنة 1960 إلى 62,8% سنة 2024.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w016,A,"['wiki_02691', 'wiki_02194', 'wiki_00564', 'wiki_02693', 'wiki_02741']","معدل النمو السكاني خلال الفترة 2014-2024 كان 0,85%.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w017,A,"['wiki_01011', 'wiki_01012', 'wiki_01297', 'wiki_01020', 'wiki_01018']","نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية سنة 2015 هي %88,8.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w018,A,"['wiki_01011', 'wiki_01297', 'wiki_00443', 'wiki_01020', 'wiki_01379']","الإنتاج الوطني من الطاقة الأولية يمثل 9,4% من احتياجات البلد.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w019,A,"['wiki_00436', 'wiki_00569', 'wiki_00426', 'wiki_01110', 'wiki_01106']",نسبة صادرات الفوسفاط ومشتقاته من مجموع الصادرات كانت 15% عام 2003.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w020,A,"['wiki_00448', 'wiki_00568', 'wiki_00436', 'wiki_01292', 'wiki_00435']",الواردات المغربية تتكون أساسا من المواد التجهيزية ومصادر الطاقة بنسبة تقارب 43٪، والمواد الغذائية بنسبة 21٪.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",0,0,Atlas-Chat-9B/v2,0
w021,A,"['wiki_01430', 'wiki_01654', 'wiki_00436', 'wiki_01292', 'wiki_01432']",نسبة تغطية الصادرات للواردات سنة 1983 كانت 55.8%.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w022,A,"['wiki_01430', 'wiki_01766', 'wiki_01476', 'wiki_01230', 'wiki_02521']",إنفاقات حرب الصحراء كانت كتكلف مليون دولار يوميا.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w023,A,"['wiki_00350', 'wiki_00574', 'wiki_00572', 'wiki_02967', 'wiki_00575']",اتفاقية التجارة الحرة بين المغرب والولايات المتحدة وقعات فـ15 يونيو 2004.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w024,A,"['wiki_00574', 'wiki_01284', 'wiki_00575', 'wiki_00569', 'wiki_00436']",نسبة ارتفعت صادرات المغرب من النسيج إلى الولايات المتحدة سنة 2006 هي %122.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w025,A,"['wiki_00574', 'wiki_00740', 'wiki_01269', 'wiki_00432', 'wiki_02967']",الاستثمارات الأمريكية في المغرب تتركز بشكل رئيسي في قطاعي السياحة والنسيج.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w026,A,"['wiki_01297', 'wiki_00682', 'wiki_00689', 'wiki_01770', 'wiki_01298']",المعلومة غير متوفرة في النصوص,1,MBZUAI-Paris/Atlas-Chat-9B,0,0,1,"مدعوم: لا
مطابق: لا",1,0,Atlas-Chat-9B/v2,1
w027,A,"['wiki_01021', 'wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01013']",نسبة الفحم في توليد الكهرباء بالمغرب هي 54.3%.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w028,A,"['wiki_02790', 'wiki_02789', 'wiki_01372', 'wiki_01408', 'wiki_02611']",الأقطاب التنافسية الثلاثة هي في طنجة وأكادير والعيون.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w029,A,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02795']",الناتج الداخلي الخام لقطاع الصيد البحري تطور بشكل إيجابي بين 2007 و2015، حيث ارتفع من 8.3 إلى 15 مليار درهم.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w030,A,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02792']",إنتاج الصيد البحري بلغ حوالي 1.46 مليون طن بقيمة 11.5 مليار درهم سنة 2016.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w031,A,"['wiki_01281', 'wiki_00428', 'wiki_02608', 'wiki_00445', 'wiki_00412']","قطاع الخدمات ساهم ب 56,5% من الناتج المحلي الإجمالي سنة 2017.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w032,A,"['wiki_01281', 'wiki_02609', 'wiki_01361', 'wiki_02608', 'wiki_01312']",3.750 دولار أمريكي,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w033,A,"['wiki_01281', 'wiki_01284', 'wiki_01312', 'wiki_00563', 'wiki_01279']",المغرب يَحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w034,A,"['wiki_02387', 'wiki_01379', 'wiki_01020', 'wiki_01380', 'wiki_01021']",إنتاج الطاقة الكهرمائية سنة 2004 بلغ 2700 مليون كيلواط.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w035,A,"['wiki_01379', 'wiki_02386', 'wiki_01378', 'wiki_01281', 'wiki_02411']",حصة المدارات المسقية في الناتج المحلي الخام بين 7% و10% حسب الحالة المائية للسنة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w036,A,"['wiki_01377', 'wiki_02384', 'wiki_00436', 'wiki_01095', 'wiki_00428']",المغرب كيستورد ما بين 40% و60% من حاجياته من الحبوب حسب الحالة المناخية.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w037,A,"['wiki_00438', 'wiki_00439', 'wiki_01312', 'chunk_007', 'wiki_01814']",حوالي 34% من مجموع القوى العاملة في المغرب.,0,MBZUAI-Paris/Atlas-Chat-9B,1,0,1,"مدعوم: نعم
مطابق: لا",1,0,Atlas-Chat-9B/v2,0
w038,A,"['wiki_02635', 'wiki_02646', 'wiki_02645', 'wiki_02644', 'wiki_02643']",عدد سكان عين بني مطهر سنة 2014 كان 16289 نسمة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w039,A,"['wiki_02646', 'wiki_02635', 'wiki_02643', 'wiki_02644', 'wiki_02645']",محطة القطارات بعين بني مطهر تسدات فعام 1995.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w040,A,"['wiki_00814', 'wiki_00813', 'wiki_02649', 'wiki_02333', 'wiki_01568']",عدد المؤسسات الابتدائية اللي استغلات خلال الموسم الدراسي 2009/2008 هو 435 مدرسة.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w041,A,"['wiki_01106', 'wiki_00584', 'wiki_00441', 'wiki_01011', 'wiki_00444']",المغرب تملك أعلى احتياطي للفوسفات في العالم، ويتوفر على %75 من الاحتياطي العالمي.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w042,A,"['wiki_01106', 'wiki_00617', 'wiki_00584', 'wiki_01650', 'wiki_00441']",الصين,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w043,A,"['wiki_02193', 'wiki_02194', 'wiki_02187', 'wiki_02189', 'wiki_02188']","حسب الإحصاء العام للسكان والسكنى لسنة 2024 الصادر عن المندوبية السامية للتخطيط، بلغ عدد سكان جماعة خنيفرة 123,738 نسمة، مقابل 117,510 نسمة سنة 2014، أي بزيادة تقارب 5.3% خلال عشر سنوات.",1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
w044,A,"['wiki_02194', 'wiki_02193', 'wiki_02202', 'wiki_02187', 'wiki_02188']",نسبة الفئة العمرية دون 15 سنة بإقليم خنيفرة هي 24.5%.,1,MBZUAI-Paris/Atlas-Chat-9B,1,1,1,"مدعوم: نعم
مطابق: نعم",1,0,Atlas-Chat-9B/v2,0
