qid,cond,prompt,context,answer,gold_in_context,faithful,correct,judge_raw,refused
w001,A,P1,"['wiki_02359', 'wiki_00355', 'wiki_01293', 'wiki_01284', 'wiki_00442']",593168,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w002,A,P1,"['wiki_02359', 'wiki_00355', 'wiki_01492', 'wiki_00247', 'wiki_00583']",طنجة,1,1,0,"مدعوم: نعم
مطابق: لا",0
w003,A,P1,"['wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01296', 'wiki_01417']","نسبة الطاقات المتجددة في توليد الكهرباء بالمغرب هي %13,6.",1,0,0,"مدعوم: لا
مطابق: لا",0
w004,A,P1,"['wiki_01012', 'wiki_01297', 'wiki_01418', 'wiki_01011', 'wiki_01021']","ارتفعت نسبة الاعتماد على الطاقة الريحية من 2,8% في 2010 إلى 8,1% في 2015.",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w005,A,P1,"['wiki_01012', 'wiki_01011', 'wiki_01014', 'wiki_01255', 'wiki_00432']","1,6 طن",1,1,1,"مدعوم: نعم
مطابق: نعم",0
w006,A,P1,"['wiki_00564', 'chunk_011', 'wiki_00563', 'wiki_00453', 'wiki_00291']",12.8%,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w007,A,P1,"['wiki_00564', 'wiki_01369', 'wiki_00290', 'wiki_00417', 'wiki_01408']",المعلومة غير متوفرة في النصوص,1,1,0,"مدعوم: نعم
مطابق: لا",1
w008,A,P1,"['wiki_00564', 'chunk_011', 'wiki_00291', 'wiki_00453', 'wiki_00563']",من 10.5% في 2014 إلى 21.4% في 2024.,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w009,A,P1,"['wiki_02608', 'wiki_02609', 'wiki_01173', 'wiki_01361', 'wiki_00433']",المعلومة غير متوفرة في النصوص,1,1,0,"مدعوم: نعم
مطابق: لا",1
w010,A,P1,"['wiki_02608', 'wiki_02609', 'wiki_02607', 'wiki_00578', 'wiki_01651']",انخفض عجز الموازنة من 4.4% إلى 3.5% من إجمالي الناتج المحلي في 2017.,1,0,0,"مدعوم: لا
مطابق: لا",0
