qid,condition,gold_in_context,answer,faithful,correct,refused
w067,C1_msa_e5,1,سعة وحدة التبريد المخصصة للحفاظ على التفاح تصل إلى 1600 طن.,1,1,0
w188,C1_msa_e5,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w102,C1_msa_e5,1,تفوق 39.6 درجة مئوية,1,1,0
w194,C1_msa_e5,1,اسم مدينة تزنيت يعتقد أنه نسبة لامرأة اسمها للا زنينية.,1,1,0
w112,C1_msa_e5,1,قبائل الباكوات لـموريطنية الطنجية,0,0,0
w122,C1_msa_e5,1,وفرة سمك الشابل والتون في أزمور، والإقبال الأوروبي على شرائه.,1,1,0
w014,C1_msa_e5,1,"36,8 مليون نسمة",1,1,0
w003,C1_msa_e5,1,"نسبة الطاقات المتجددة في توليد الكهرباء بالمغرب هي %13,6.",0,0,0
w065,C1_msa_e5,1,عاش أمازيغ الأطلس المتوسط في جماعات منعزلة ومغلقة، كل قبيلة كانت كيانًا مستقلًا بخصوصياتها دون علاقات واضحة مع القبائل المجاورة.,1,1,0
w045,C1_msa_e5,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,0
w137,C1_msa_e5,1,100 درهم,1,1,0
w171,C1_msa_e5,1,حي القيروانيين,1,1,0
w129,C1_msa_e5,0,ينسب إلى المرابطين استعمال راية سوداء ذات كتابات أو زخارف ذهبية، رابطًا اللون الأسود باعترافهم الاسمي بشرعية الخلافة العباسية.,1,1,0
w077,C1_msa_e5,1,سلالة مكناس,1,1,0
w159,C1_msa_e5,1,عقلانية في التدبير ومعالجة التلوث,1,1,0
w168,C1_msa_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w046,C1_msa_e5,1,1503,1,1,0
w131,C1_msa_e5,1,اعتمدت سكان منطقة تاوريرت في معيشتهم على تربية الماشية والزراعة البورية.,1,1,0
w031,C1_msa_e5,1,56.5%,1,1,0
w004,C1_msa_e5,1,"ارتفعت نسبة الاعتماد على الطاقة الريحية من 2,8% في 2010 إلى 8,1% في 2015.",1,1,0
w160,C1_msa_e5,1,3312,1,1,0
w016,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w043,C1_msa_e5,1,"بلغ عدد سكان جماعة خنيفرة سنة 2024 حوالي 242,376 نسمة.",0,0,0
w127,C1_msa_e5,1,ارتفاع سطات عن سطح البحر يبلغ حوالي 370 مترا.,1,1,0
w187,C1_msa_e5,1,حكم بطليموس الموريطاني من 23 ميلادية حتى 40 ميلادية.,1,1,0
w163,C1_msa_e5,1,5 ديسمبر 1952,1,1,0
w048,C1_msa_e5,1,75%,1,1,0
w111,C1_msa_e5,1,الكلمة «أصفراو» في اللغة الأمازيغية تعني المنطقة المقعرة.,0,1,0
w006,C1_msa_e5,1,12.8%,1,1,0
w195,C1_msa_e5,1,مهام الهيئة المغربية لسوق الرساميل تشمل حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، تعزيز الثقافة المالية.,1,1,0
w038,C1_msa_e5,1,16289,1,1,0
w123,C1_msa_e5,1,سنة 1476,1,1,0
w013,C1_msa_e5,1,استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب إلى غاية 31 دجنبر 2011.,1,1,0
w037,C1_msa_e5,0,90%,0,0,0
w154,C1_msa_e5,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C1_msa_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w062,C1_msa_e5,1,توماس جيفرسون,1,1,0
w196,C1_msa_e5,1,ملك المغرب,1,1,0
w033,C1_msa_e5,1,يحتل المغرب المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w173,C1_msa_e5,1,16 نوفمبر 1955,1,1,0
w172,C1_msa_e5,1,أكتوبر 1955,1,1,0
w061,C1_msa_e5,1,أُرسل الأسطول البحري الأمريكي في 13 مايو 1801 في بداية الحرب.,1,1,0
w011,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1
w145,C1_msa_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w161,C1_msa_e5,1,جِلد الإبل أو جِلد الماعز,1,1,0
w053,C1_msa_e5,1,ستة إلى ثمانية أنواع من السلطات.,1,1,0
w126,C1_msa_e5,1,الحصان,1,1,0
w107,C1_msa_e5,1,قامت البنك المخزني بدور البنك المركزي إلى غاية سنة 1959.,1,1,0
w074,C1_msa_e5,1,تمتاز الجماعة بمدينة جرادة منتخبا مختارا من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1,0
w114,C1_msa_e5,1,35 كلم,1,1,0
w106,C1_msa_e5,1,أُنشئ البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,0
w096,C1_msa_e5,1,مرسوم رقم 2.24.1122,1,1,0
w104,C1_msa_e5,1,تداخل النزعة الليبرالية مع الاقتصاد الموجّه.,1,1,0
w146,C1_msa_e5,1,خمسة عشر سنة,1,1,0
w044,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w001,C1_msa_e5,1,593168,1,1,0
w162,C1_msa_e5,1,45 منشورًا,1,1,0
w193,C1_msa_e5,1,تلقب تزنيت بعاصمة الفضة因为她以生产银首饰闻名。,1,1,0
w017,C1_msa_e5,1,"نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية سنة 2015 هي %88,8.",1,1,0
w081,C1_msa_e5,1,6 يوما,1,1,0
w103,C1_msa_e5,1,واد الشارف واد تبودة وادي مسخسخة وادي وزين,1,1,0
w039,C1_msa_e5,1,في سنة 1995,1,1,0
w157,C1_msa_e5,1,مستشفى ومستوصف صحي ودار للولادة,1,1,0
w177,C1_msa_e5,1,منتزه NATIONAL إفران، البحيرات، المصادر، الشلالات، المجالات الغابوية، محطة ميشليفن للتزلج.,1,1,0
w136,C1_msa_e5,1,67 %,1,1,0
w079,C1_msa_e5,1,32 كلم,1,1,0
w116,C1_msa_e5,1,استولى الجيش البرتغالي على القصر الصغير في يوم 23 أكتوبر 1458م بقيادة ألفونس الخامس.,1,1,0
w020,C1_msa_e5,1,الواردات المغربية تتكون أساسا من المواد الطاقية والمواد التجهيزية والمواد الغذائية.,1,1,0
w015,C1_msa_e5,1,"ارتفع معدل التمدن من 29% في 1960 إلى 62,8% في 2024.",1,1,0
w178,C1_msa_e5,1,تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0
w147,C1_msa_e5,1,تم تدشين مستشفى القرب بأحفير يوم 25 يوليوز 2024.,1,1,0
w180,C1_msa_e5,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0
w066,C1_msa_e5,1,لم يعرفت القبائل الأمازيغية شكلا من أشكال الاتحاد الكونفدرالي.,1,1,0
w085,C1_msa_e5,1,المدينة تعاني من مشاكل في النظافة وقلة الموارد المائية وضعف الخدمات اللوجستيكية ونقص قنوات الصرف الصحي وضعف قطاع الصحة.,1,1,0
w166,C1_msa_e5,1,أسكيا قام بتنظيم الإدارة وتجهيز الجيش وضم أراض جديدة إلى سلطة البلاد.,0,0,0
w047,C1_msa_e5,1,1050000 هكتار,1,1,0
w105,C1_msa_e5,1,أولى الأوراش الاقتصادية لأولى الحكومات المغربية تخص إرساء الاستقلالية الاقتصادية، لدولة خارجة للتو من الاستعمار.,1,1,0
w080,C1_msa_e5,1,عين ذهيبة,0,0,0
w055,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,1,1,1
w197,C1_msa_e5,1,سبعة,1,1,0
w086,C1_msa_e5,1,سنة 2012,1,1,0
w119,C1_msa_e5,1,مساحة القصبة المخزنية تبلغ 6704م² وعدد أبراجها 5.,1,1,0
w110,C1_msa_e5,1,لقد زار محمد بن عثمان المكناسي إسبانيا لعقد معاهدة لتجديد الصلح بين المغرب وإسبانيا وإطلاق صراح الأسرى الجزائريين بإسبانيا.,1,1,0
w134,C1_msa_e5,1,سجلماسة بنيت سنة 140 هـ/757م من قبل عيسى بن يزيد الأسود.,1,1,0
w143,C1_msa_e5,1,صالح بن عبد الحليم الإيلاني ينتمي إلى قبيلة أيلان المصمودية.,1,1,0
w034,C1_msa_e5,1,2700 مليون كيلواط,1,1,0
w019,C1_msa_e5,1,15%,1,1,0
w141,C1_msa_e5,1,عزيز أخنوش,1,1,0
w124,C1_msa_e5,1,لقب عاصمة الشاوية,1,1,0
w176,C1_msa_e5,0,المعلومة غير متوفرة في النصوص,0,0,1
w064,C1_msa_e5,1,صناعة الفخار، الدباغة، صياغة الحلي.,1,1,0
w084,C1_msa_e5,1,الاقتصاد في مدينة مرزوكة يعتمد بشكل رئيسي على السياحة.,1,1,0
w149,C1_msa_e5,1,سبع سنوات,1,1,0
w101,C1_msa_e5,1,200 ملم,1,1,0
w156,C1_msa_e5,0,10,0,0,0
w073,C1_msa_e5,1,يوليو - غشت 1947,1,1,0
w028,C1_msa_e5,1,طنجة وأكادير والعيون,1,1,0
w185,C1_msa_e5,1,شرشال,1,1,0
w113,C1_msa_e5,1,البهاليل,1,1,0
w052,C1_msa_e5,1,19 ماي 1881م,1,1,0
w175,C1_msa_e5,1,2 مارس 1956,1,1,0
w005,C1_msa_e5,1,"1,6 طن",1,1,0
w030,C1_msa_e5,1,1460000 طن,1,1,0
w184,C1_msa_e5,1,في كنف الإمبراطور أغسطس.,1,1,0
w100,C1_msa_e5,1,167 مقعدا,1,1,0
w099,C1_msa_e5,1,باب بوجلود يعد المدخل الرئيسي لفاس البالي.,1,1,0
w132,C1_msa_e5,1,مدينة سجلماسة التاريخية تقع وسط واحة كبيرة جنوب الأطلس الكبير.,1,1,0
w125,C1_msa_e5,1,40 كم,0,0,0
w199,C1_msa_e5,1,بسبب إعادة بناء مدينة الصويرة على النمط العصري وبناء ميناء جديد وقاعدة عسكرية بحرية من قبل السلطان العلوي محمد الثالث.,1,1,0
w135,C1_msa_e5,1,من 17% إلى 19%.,1,1,0
w179,C1_msa_e5,1,183,1,1,0
w121,C1_msa_e5,1,قصبة المرينيين,1,1,0
w035,C1_msa_e5,1,حصة المدارات المسقية في الناتج المحلي الخام بين 7% و10% حسب الحالة المائية للسنة.,1,1,0
w049,C1_msa_e5,1,"±2,5٪",1,1,0
w170,C1_msa_e5,1,في عام 985,1,1,0
w139,C1_msa_e5,1,20 ألف بيزيتا,1,1,0
