qid,condition,gold_in_context,answer,faithful,correct,judge_parsed,judge_raw,refused
w067,C1_msa_e5,1,وحدة التبريد تصل سعتها إلى 1600 طن لتزويد الفنادق السياحية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w188,C1_msa_e5,1,ساعتين و11 دقيقة و34 ثانية,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w102,C1_msa_e5,1,39.6 درجة مئوية,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w194,C1_msa_e5,1,اسم مدينة تزنيت يعتقد أنه نسبة لامرأة اسمها للا زنينية ويقرأ اسمها بالأمازيغية باسم تزنيت.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w112,C1_msa_e5,1,سكان صفرو الأوائل قطنوا الكهوف والمغارات.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w122,C1_msa_e5,1,وفقاً لمعلومات النصوص، استعجل البرتغاليون احتلال أزمور حسب مارمول كربخال بسبب وفرة سمك الشابل والتون في أزمور، والإقبال الأوروبي على شرائه.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w014,C1_msa_e5,1,"حوالي 36,8 مليون نسمة سنة 2024 según النصوص المقدمة.",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w003,C1_msa_e5,1,"13,6%",0,0,1,"مدعوم: لا  
مطابق: لا",0
w065,C1_msa_e5,1,أمازيغ الأطلس المتوسط عاشوا في جماعات منعزلة ومغلقة، بمعزل عن القبائل المجاورة، ولم يعرفوا أي شكل من أشكال الاتحاد الكونفدرالي، رغم توالي الغزوات والتأثيرات الثقافية المختلفة على المنطقة.,0,1,1,"مدعوم: لا  
مطابق: نعم",0
w045,C1_msa_e5,1,منح الاتحاد الأوروبي المغرب منحة في ديسمبر 2009 لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w137,C1_msa_e5,1,100 درهم,1,0,1,"مدعوم: نعم  
مطابق: لا",0
w171,C1_msa_e5,1,حي القيروانيين,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w129,C1_msa_e5,0,المرابطون استعملوا اللون الأسود باعترافهم الاسمي بشرعية الخلافة العباسية.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w077,C1_msa_e5,1,سلالة مكناس هي سلالة موجهة إلى إنتاج الحليب بدون منازع، وهي تتأقلم مع الظروف المناخية للمغرب.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w159,C1_msa_e5,1,الproblem الأساسي للماء في قطاع الصناعة بالمغرب هو العقلانية في التدبير وليس التزود.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w168,C1_msa_e5,0,مسمى الحصن الذي شيده المطغريون هو ميناء فيكتوريا.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w046,C1_msa_e5,1,عدد الجماعات في المغرب سنة 2009 بلغ 1503 جماعات.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w131,C1_msa_e5,1,اعتماد سكان منطقة تاوريرت في معيشتهم على مهاجريهم بالخارج، بالإضافة إلى تربية الماشية والزراعة البورية، خاصة الزراعة السقوية المرتبطة ببعض الآبار، وغرس الشجر.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w031,C1_msa_e5,1,"مساهمة قطاع الخدمات في الناتج المحلي الإجمالي سنة 2017 كانت 56,5%.",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w004,C1_msa_e5,1,"نسبة الاعتماد على الطاقة الريحية ارتفعت من %2,8 في 2010 إلى %8,1 في 2015 في المغرب.",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w160,C1_msa_e5,1,3312 منشورًا بالعربية,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w016,C1_msa_e5,1,المعدل السكاني خلال الفترة 2014-2024 بلغ 0.85%.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w043,C1_msa_e5,1,"123,738 نسمة",1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w127,C1_msa_e5,1,ارتفاع سطات عن سطح البحر حوالي 370 مترا.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w187,C1_msa_e5,1,حكم بطليموس الموريطاني من 33 حتى 40 ميلادية.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w163,C1_msa_e5,1,5 ديسمبر 1952,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w048,C1_msa_e5,1,مساهمة الزراعة المسقية في الصادرات الفلاحية تبلغ 75%.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w111,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w006,C1_msa_e5,1,12.8%,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w195,C1_msa_e5,1,تتولى الهيئة المغربية لسوق الرساميل عدة وظائف، منها حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، وتعزيز الثقافة المالية. وتشرف الهيئة على جميع أسواق الرساميل.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w038,C1_msa_e5,1,عدد سكان عين بني مطهر بلغ حوالي 16289 نسمة سنة 2014.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w123,C1_msa_e5,1,1476,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w013,C1_msa_e5,1,استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب حتى 31 دجنبر 2011.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w037,C1_msa_e5,0,90% من جملة السكان المشتغلين بالزراعة في المغرب.,0,1,1,"مدعوم: لا  
مطابق: نعم",0
w154,C1_msa_e5,1,المقر الرئيسي لصندوق محمد السادس للاستثمار يقع في مدينة الرباط.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w070,C1_msa_e5,0,المهدية,0,0,1,"مدعوم: لا  
مطابق: لا",0
w062,C1_msa_e5,1,في عهد الرئيس توماس جيفرسون بدأت الحرب.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w196,C1_msa_e5,1,الملك محمد السادس يعين رئيس الهيئة المغربية لسوق الرساميل.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w033,C1_msa_e5,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب منظمة العمل الدولية لسنة 2023.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w173,C1_msa_e5,1,11 سبتمبر 1953,0,0,1,"مدعوم: لا  
مطابق: لا",0
w172,C1_msa_e5,1,أكتوبر 1955,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w061,C1_msa_e5,1,أرسل الأسطول البحري الأمريكي في بداية الحرب في مايو 1801.,1,0,1,"مدعوم: نعم  
مطابق: لا",0
w011,C1_msa_e5,1,المعلومة غير متوفرة في النصوص,0,0,1,"مدعوم: لا  
مطابق: لا",1
w145,C1_msa_e5,0,19 مايو 1953م، تكفل به والد عبد الصادق الكلاوي.,0,0,1,"مدعوم: لا  
مطابق: لا",0
w161,C1_msa_e5,1,آلة الكمبري الموسيقية تُصنع من الخشب وجِلد الإبل أو جِلد الماعز.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w053,C1_msa_e5,1,المزة تتكون عادةً من 6-8 أنواع من السلطات في مطبخ يهود المغرب.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w126,C1_msa_e5,1,رمز مدينة سطات هو الحصان الذي يتواجد في قلب المدينة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w107,C1_msa_e5,1,1959,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w074,C1_msa_e5,1,المؤسسة الجماعية بمدينة جرادة كانت مؤلفة من منتخبين مختارين من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w114,C1_msa_e5,1,القصر الصغير يبعد 35 كلم عن الطريق الرابطة بين طنجة وتطوان.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w106,C1_msa_e5,1,أُنشئ البنك المخزني المغربي في طنجة شمال المغرب سنة 1907.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
w096,C1_msa_e5,1,تمت المصادقة على الزيادة الأخيرة في الأجر الفلاحي بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,1,1,1,"مدعوم: نعم  
مطابق: نعم",0
