encoder,subset,metric,gap,lo,hi,significant
DarijaBERT,pilot,MRR,0.09622354497354497,0.0578468253968254,0.13620631613756615,yes
DarijaBERT,wikipedia,MRR,0.12663888888888888,0.08083234126984128,0.17775818452380954,yes
DarijaBERT,pilot,R@1,0.14,0.09325000000000001,0.19333333333333333,yes
DarijaBERT,wikipedia,R@1,0.12,0.055,0.18,yes
DarijaBERT,pilot,R@5,0.06,0.023333333333333334,0.09666666666666666,yes
DarijaBERT,wikipedia,R@5,0.13,0.07,0.195,yes
multilingual-e5-base,pilot,MRR,0.15657539682539684,0.11818647486772488,0.19441772486772488,yes
multilingual-e5-base,wikipedia,MRR,0.09592460317460316,0.06407857142857143,0.12799171626984127,yes
multilingual-e5-base,pilot,R@1,0.18666666666666668,0.13666666666666666,0.23333333333333334,yes
multilingual-e5-base,wikipedia,R@1,0.135,0.085,0.185,yes
multilingual-e5-base,pilot,R@5,0.12,0.08333333333333333,0.15674999999999994,yes
multilingual-e5-base,wikipedia,R@5,0.045,0.005,0.085,yes
paraphrase-multilingual-MiniLM-L12-v2,pilot,MRR,0.19487830687830687,0.1476141865079365,0.24122509920634916,yes
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,MRR,0.1515,0.09964727182539683,0.20773680555555557,yes
paraphrase-multilingual-MiniLM-L12-v2,pilot,R@1,0.23,0.17325000000000002,0.2866666666666667,yes
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,R@1,0.17,0.1,0.24,yes
paraphrase-multilingual-MiniLM-L12-v2,pilot,R@5,0.15,0.10333333333333333,0.19333333333333333,yes
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,R@5,0.09,0.03,0.15012499999999987,yes
