qid,condition,gold_in_context,answer,faithful,correct,refused,latin_ratio,code_switched
w188,C1_msa_base,1,ساعتين و11 دقيقة و34 ثانية,1,1,0,0.0,0
w045,C1_msa_base,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا,1,1,0,0.0,0
w137,C1_msa_base,1,100 درهم,1,1,0,0.0,0
w171,C1_msa_base,1,حي القيروانيين,1,1,0,0.0,0
w077,C1_msa_base,1,سلالة مكناس,1,1,0,0.0,0
w159,C1_msa_base,1,عقلانية في التدبير ومعالجة التلوث,1,1,0,0.0,0
w131,C1_msa_base,1,اعتمدت سكان منطقة تاوريرت في معيشتهم على تربية الماشية والزراعة البورية.,1,1,0,0.0,0
w031,C1_msa_base,1,56.5%,1,1,0,0.0,0
w160,C1_msa_base,1,3312,1,1,0,0.0,0
w163,C1_msa_base,1,5 ديسمبر 1952,1,1,0,0.0,0
w048,C1_msa_base,1,75%,1,1,0,0.0,0
w195,C1_msa_base,1,حماية المدخرين والمستثمرين؛ مراقبة سير أسواق الرساميل؛ ضمان شفافية العمليات المالية؛ تنظيم المشاركين في السوق والأدوات المالية؛ تعزيز الثقافة المالية.,1,1,0,0.0,0
w013,C1_msa_base,1,31 دجنبر 2011,1,1,0,0.0,0
w037,C1_msa_base,0,90%,0,0,0,0.0,0
w154,C1_msa_base,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0,0.0,0
w070,C1_msa_base,0,المعلومة غير متوفرة في النصوص,0,0,1,0.0,0
w196,C1_msa_base,1,ملك المغرب,1,1,0,0.0,0
w033,C1_msa_base,1,يحتل المغرب المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0,0.0,0
w161,C1_msa_base,1,جِلد الإبل أو جِلد الماعز,1,1,0,0.0,0
w107,C1_msa_base,1,1959,1,1,0,0.0,0
w074,C1_msa_base,1,تمتاز الجماعة بمدينة جرادة منتخبا مختارا من قبل رؤساء العائلات حسب الانتماء الإثني لكل مجموعة قبيلة.,1,1,0,0.0,0
w106,C1_msa_base,1,أُنشئ البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,0,0.0,0
w096,C1_msa_base,1,مرسوم رقم 2.24.1122,1,1,0,0.0,0
w162,C1_msa_base,1,45,1,1,0,0.0,0
w157,C1_msa_base,1,مستشفى ومستوصف صحي ودار للولادة,1,1,0,0.0,0
w136,C1_msa_base,1,67 %,1,1,0,0.0,0
w178,C1_msa_base,1,1994,1,1,0,0.0,0
w180,C1_msa_base,1,تتمركز معظم وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0,0.0,0
w166,C1_msa_base,1,أسكيا قام بتنظيم الإدارة وتجهيز الجيش وضم أراض جديدة إلى سلطة البلاد.,0,0,0,0.0,0
w047,C1_msa_base,1,1050000 هكتار,1,1,0,0.0,0
w055,C1_msa_base,1,أكثر من أربعة وثلاثون موقعًا,1,1,0,0.0,0
w119,C1_msa_base,1,مساحتها الإجمالية 6704م² وعدد أبراجها 5,1,1,0,0.0,0
w149,C1_msa_base,1,سبع سنوات,1,1,0,0.0,0
w156,C1_msa_base,0,10,0,0,0,0.0,0
w073,C1_msa_base,1,يوليو - غشت 1947,1,1,0,0.0,0
w052,C1_msa_base,1,19 ماي 1881م,1,1,0,0.0,0
w100,C1_msa_base,1,167 مقعدا,1,1,0,0.0,0
w099,C1_msa_base,1,باب بوجلود,1,1,0,0.0,0
w135,C1_msa_base,1,من 17% إلى 19%.,1,1,0,0.0,0
w179,C1_msa_base,1,183,1,1,0,0.0,0
w121,C1_msa_base,1,قصبة المرينيين,1,1,0,0.0,0
w170,C1_msa_base,1,في عام 985,1,1,0,0.0,0
w139,C1_msa_base,1,20 ألف بيزيتا,1,1,0,0.0,0
w165,C1_msa_base,1,محمد توري,1,1,0,0.0,0
w120,C1_msa_base,1,تنسب إلى القائد الحاحي محمد أغناج,1,1,0,0.0,0
w158,C1_msa_base,1,ارتفعت الساكنة الحضرية من 13 إلى 17 مليون نسمة بين 1992 و2004.,1,1,0,0.0,0
w181,C1_msa_base,1,حوالي 8300 طن في اليوم الواحد,1,1,0,0.0,0
w075,C1_msa_base,1,تنتشر سلالة الأبقار والماس زعير في كل من منطقة الرماني وزمور وزعير وقبائل زيان خاصة في منطقة مريرت.,1,1,0,0.0,0
w153,C1_msa_base,1,تأسس صندوق محمد السادس للاستثمار في عام 2021.,1,1,0,0.0,0
w076,C1_msa_base,1,سنة 1981,1,1,0,0.0,0
w097,C1_msa_base,1,توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات,1,1,0,0.0,0
w032,C1_msa_base,1,3.750 دولار أمريكي,1,1,0,0.0,0
w138,C1_msa_base,1,مصادر الدخل التي اعتمدتها جمهورية الريف هي: الضرائب، الزكاة، الغرامات، التبرعات، وفداء الأسرى.,1,1,0,0.0,0
w012,C1_msa_base,1,فاتح أبريل 1998,1,1,0,0.0,0
w098,C1_msa_base,1,1350م و1355م,1,1,0,0.0,0
w182,C1_msa_base,1,الاتحاد الأوروبي,1,1,0,0.0,0
w169,C1_msa_base,1,"نحو 2,000 تاجر عربي.",1,1,0,0.0,0
w072,C1_msa_base,1,1614 و1681,1,1,0,0.0,0
w108,C1_msa_base,0,الغرض الرئيسي من تنظيم مؤتمر الجزيرة الخضراء كان حل الأزمة المغربية الأولى وتحديد مصير المغرب كمستعمرة أوروبية.,1,1,0,0.0,0
w051,C1_msa_base,1,ثماني وعشرين سنة,1,1,0,0.0,0
w155,C1_msa_base,1,في سياق تدابير الإنعاش الاقتصادي المعتمدة في أعقاب جائحة كوفيد-19.,1,1,0,0.0,0
w130,C1_msa_base,1,جبال بني يزناسن من الجهة الشمالية وجبال دبدو ومرتفعات لمقام من الجهة الجنوبية.,0,0,0,0.0,0
w056,C1_msa_base,1,يعد تاريخ النقوش الصخرية بالسمارة إلى 4000-8000 ق.م.,1,1,0,0.0,0
w140,C1_msa_base,1,سياسة سحب الأراضي الزراعية من من يعجز أو يتهاون في زرعها.,1,1,0,0.0,0
w189,C1_msa_base,1,"جائزة ""قارئ العام للعالم العربي""",1,1,0,0.0,0
w036,C1_msa_base,1,40% حتى 60%,1,1,0,0.0,0
w071,C1_msa_base,1,1500,1,1,0,0.0,0
w164,C1_msa_base,1,عاد إلى الدار البيضاء لمواساة أسر الضحايا ثم ذهب إلى طنجة ليلقي خطاباً.,1,1,0,0.0,0
w188,C2_darija_base,1,ساعتين و11 دقيقة و34 ثانية,1,1,0,0.0,0
w045,C2_darija_base,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا,1,1,0,0.0,0
w137,C2_darija_base,1,100 درهم,1,1,0,0.0,0
w171,C2_darija_base,1,حي القيروانيين,1,1,0,0.0,0
w077,C2_darija_base,1,سلالة مكناس,1,1,0,0.0,0
w159,C2_darija_base,0,ضعف إنتاج البترول وعدم تطور الصناعة بشكل كاف.,0,0,0,0.0,0
w131,C2_darija_base,0,المهاجرين القاطنين بديار المهجر,0,0,0,0.0,0
w031,C2_darija_base,1,56.5%,1,1,0,0.0,0
w160,C2_darija_base,1,3312,1,1,0,0.0,0
w163,C2_darija_base,1,5 ديسمبر 1952,1,1,0,0.0,0
w048,C2_darija_base,1,تساهم في 75% من الصادرات الفلاحية,1,1,0,0.0,0
w195,C2_darija_base,1,حماية المدخرين والمستثمرين؛ مراقبة سير أسواق الرساميل؛ ضمان شفافية العمليات المالية؛ تنظيم المشاركين في السوق والأدوات المالية؛ تعزيز الثقافة المالية.,1,1,0,0.0,0
w013,C2_darija_base,1,غاية 31 دجنبر 2011,1,1,0,0.0,0
w037,C2_darija_base,0,حوالي 34% من مجموع القوى العاملة في المغرب.,1,1,0,0.0,0
w154,C2_darija_base,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0,0.0,0
w070,C2_darija_base,0,سنة 1614,0,0,0,0.0,0
w196,C2_darija_base,1,الملك محمد السادس,1,0,0,0.0,0
w033,C2_darija_base,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0,0.0,0
w161,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w107,C2_darija_base,1,1959,1,1,0,0.0,0
w074,C2_darija_base,0,المعلومة غير متوفرة في النصوص,0,0,1,0.0,0
w106,C2_darija_base,1,تأسس البنك المخزني المغربي سنة 1907 في طنجة شمال المغرب.,1,1,0,0.0,0
w096,C2_darija_base,1,مرسوم رقم 2.24.1122,1,1,0,0.0,0
w162,C2_darija_base,1,45,1,1,0,0.0,0
w157,C2_darija_base,1,مستشفى ومستوصف صحي ودار للولادة,1,1,0,0.0,0
w136,C2_darija_base,1,67 %,1,1,0,0.0,0
w178,C2_darija_base,1,تأسس مركز المغرب العربي للدراسات الاستراتيجية في عام 1994.,1,1,0,0.0,0
w180,C2_darija_base,1,تتمركز أغلب وحدات صناعة التجميد في جنوب المغرب بسبب تطوير صيد الرخويات والصيد السطحي.,1,1,0,0.0,0
w166,C2_darija_base,1,أغمات,0,0,0,0.0,0
w047,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w055,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
w119,C2_darija_base,1,مساحتها الإجمالية 6704م² وعدد أبراجها 5,1,1,0,0.0,0
w149,C2_darija_base,1,七年,1,1,0,0.0,0
w156,C2_darija_base,1,أثري من حقبة الاستعمار وقد أعيد إلى الخدمة,0,0,0,0.0,0
w073,C2_darija_base,1,يولوز – غشت 1947,1,1,0,0.0,0
w052,C2_darija_base,1,19 ماي 1881م,1,1,0,0.0,0
w100,C2_darija_base,1,المعلومة غير متوفرة في النصوص,1,1,1,0.0,0
