qid,cond,context,answer,gold_in_context,prompt_tokens,gen_seconds,faithful,correct,faithful_v2,correct_v2,judge_parsed,judge_raw,refused
w001,A,"['wiki_02359', 'wiki_00355', 'wiki_01293', 'wiki_01284', 'wiki_00442']",593168,1,1797,1.0219073295593262,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w002,A,"['wiki_02359', 'wiki_00355', 'wiki_01492', 'wiki_00247', 'wiki_00583']",طنجة,1,1609,1.0219073295593262,1,0,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w003,A,"['wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01296', 'wiki_01417']","نسبة الطاقات المتجددة في توليد الكهرباء بالمغرب هي %13,6.",1,1698,1.0219073295593262,0,0,0,0,1,"مدعوم: لا
مطابق: لا",0
w004,A,"['wiki_01012', 'wiki_01297', 'wiki_01418', 'wiki_01011', 'wiki_01021']","ارتفعت نسبة الاعتماد على الطاقة الريحية من 2,8% في 2010 إلى 8,1% في 2015.",1,1734,1.0219073295593262,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w005,A,"['wiki_01012', 'wiki_01011', 'wiki_01014', 'wiki_01255', 'wiki_00432']","1,6 طن",1,1650,1.0219073295593262,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w006,A,"['wiki_00564', 'chunk_011', 'wiki_00563', 'wiki_00453', 'wiki_00291']",12.8%,1,1412,1.0219073295593262,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w007,A,"['wiki_00564', 'wiki_01369', 'wiki_00290', 'wiki_00417', 'wiki_01408']",المعلومة غير متوفرة في النصوص,1,1636,1.0219073295593262,1,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w008,A,"['wiki_00564', 'chunk_011', 'wiki_00291', 'wiki_00453', 'wiki_00563']",من 10.5% في 2014 إلى 21.4% في 2024.,1,1413,1.0219073295593262,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w009,A,"['wiki_02608', 'wiki_02609', 'wiki_01173', 'wiki_01361', 'wiki_00433']",المعلومة غير متوفرة في النصوص,1,1599,1.0599844455718994,1,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w010,A,"['wiki_02608', 'wiki_02609', 'wiki_02607', 'wiki_00578', 'wiki_01651']",انخفض عجز الموازنة من 4.4% إلى 3.5% من إجمالي الناتج المحلي في 2017.,1,1854,1.0599844455718994,0,0,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w011,A,"['wiki_00563', 'wiki_00453', 'wiki_00564', 'chunk_011', 'wiki_02608']",المعلومة غير متوفرة في النصوص,1,1442,1.0599844455718994,0,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w012,A,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02229', 'wiki_02224']",فاتح أبريل 1998,1,1843,1.0599844455718994,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w013,A,"['wiki_02230', 'wiki_02227', 'wiki_02228', 'wiki_02231', 'wiki_02224']",استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب إلى غاية 31 دجنبر 2011.,1,1772,1.0599844455718994,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w014,A,"['wiki_02691', 'wiki_02693', 'chunk_002', 'wiki_01303', 'wiki_02692']","36,8 مليون نسمة",1,1454,1.0599844455718994,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w015,A,"['wiki_02691', 'wiki_00564', 'wiki_00582', 'wiki_00563', 'wiki_02607']","ارتفع معدل التمدن من 29% في 1960 إلى 62,8% في 2024.",1,1746,1.0599844455718994,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w016,A,"['wiki_02691', 'wiki_02194', 'wiki_00564', 'wiki_02693', 'wiki_02741']",المعلومة غير متوفرة في النصوص,1,1917,1.0599844455718994,1,0,0,0,1,"مدعوم: لا
مطابق: لا",1
w017,A,"['wiki_01011', 'wiki_01012', 'wiki_01297', 'wiki_01020', 'wiki_01018']","نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية سنة 2015 هي %88,8.",1,1654,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w018,A,"['wiki_01011', 'wiki_01297', 'wiki_00443', 'wiki_01020', 'wiki_01379']",9.4٪,1,1852,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w019,A,"['wiki_00436', 'wiki_00569', 'wiki_00426', 'wiki_01110', 'wiki_01106']",15%,1,1655,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w020,A,"['wiki_00448', 'wiki_00568', 'wiki_00436', 'wiki_01292', 'wiki_00435']",الواردات المغربية تتكون أساسا من المواد الطاقية والمواد التجهيزية والمواد الغذائية.,1,1751,1.8452847301959991,0,0,1,0,1,"مدعوم: نعم
مطابق: لا",0
w021,A,"['wiki_01430', 'wiki_01654', 'wiki_00436', 'wiki_01292', 'wiki_01432']",55.8 %,1,1753,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w022,A,"['wiki_01430', 'wiki_01766', 'wiki_01476', 'wiki_01230', 'wiki_02521']",مليون دولار يوميا,1,1738,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w023,A,"['wiki_00350', 'wiki_00574', 'wiki_00572', 'wiki_02967', 'wiki_00575']",وقعت اتفاقية التجارة الحرة بين المغرب والولايات المتحدة في 15 يونيو 2004.,1,1528,1.8452847301959991,1,0,1,0,1,"مدعوم: نعم
مطابق: لا",0
w024,A,"['wiki_00574', 'wiki_01284', 'wiki_00575', 'wiki_00569', 'wiki_00436']",百分之一百二十二,1,1671,1.8452847301959991,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w025,A,"['wiki_00574', 'wiki_00740', 'wiki_01269', 'wiki_00432', 'wiki_02967']",قطاعي السياحة والنسيج,1,1575,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w026,A,"['wiki_01297', 'wiki_00682', 'wiki_00689', 'wiki_01770', 'wiki_01298']",سنة 2025,1,1739,2.2886147797107697,1,1,0,0,1,"مدعوم: لا
مطابق: لا",0
w027,A,"['wiki_01021', 'wiki_01012', 'wiki_01011', 'wiki_01297', 'wiki_01013']",80.4٪,1,1649,2.2886147797107697,0,0,1,0,1,"مدعوم: نعم
مطابق: لا",0
w028,A,"['wiki_02790', 'wiki_02789', 'wiki_01372', 'wiki_01408', 'wiki_02611']",طنجة وأكادير والعيون,1,1778,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w029,A,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02795']",Saskفت الناتج الداخلي الخام لقطاع الصيد البحري من 8.3 إلى 15 مليار درهم بين 2007 و2015.,1,1875,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w030,A,"['wiki_02790', 'wiki_01289', 'wiki_02783', 'wiki_02791', 'wiki_02792']",1460000 طن,1,1832,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w031,A,"['wiki_01281', 'wiki_00428', 'wiki_02608', 'wiki_00445', 'wiki_00412']",56.5%,1,1817,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w032,A,"['wiki_01281', 'wiki_02609', 'wiki_01361', 'wiki_02608', 'wiki_01312']",3.750 دولار أمريكي,1,1702,2.2886147797107697,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w033,A,"['wiki_01281', 'wiki_01284', 'wiki_01312', 'wiki_00563', 'wiki_01279']",يحتل المغرب المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1787,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w034,A,"['wiki_02387', 'wiki_01379', 'wiki_01020', 'wiki_01380', 'wiki_01021']",2700 مليون كيلواط,1,1874,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w035,A,"['wiki_01379', 'wiki_02386', 'wiki_01378', 'wiki_01281', 'wiki_02411']",حصة المدارات المسقية في الناتج المحلي الخام بين 7% و10% حسب الحالة المائية للسنة.,1,1619,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w036,A,"['wiki_01377', 'wiki_02384', 'wiki_00436', 'wiki_01095', 'wiki_00428']",40% حتى 60%,1,1696,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w037,A,"['wiki_00438', 'wiki_00439', 'wiki_01312', 'chunk_007', 'wiki_01814']",90%,0,1320,1.850888967514038,0,0,0,0,1,"مدعوم: لا
مطابق: لا",0
w038,A,"['wiki_02635', 'wiki_02646', 'wiki_02645', 'wiki_02644', 'wiki_02643']",16289,1,1756,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
w039,A,"['wiki_02646', 'wiki_02635', 'wiki_02643', 'wiki_02644', 'wiki_02645']",في سنة 1995,1,1753,1.850888967514038,1,1,0,0,1,"مدعوم: لا
مطابق: لا",0
w040,A,"['wiki_00814', 'wiki_00813', 'wiki_02649', 'wiki_02333', 'wiki_01568']",عدد المدارس الابتدائية بالدار البيضاء خلال الموسم الدراسي 2008/2009 هو 435 مدرسة.,1,1712,1.850888967514038,1,1,1,1,1,"مدعوم: نعم
مطابق: نعم",0
