qid,condition,gold_in_context,answer,faithful,correct,refused
w188,C1_msa_base,1,ساعتين و11 دقيقة و34 ثانية,1,1,0
w045,C1_msa_base,1,لتشجيع الاستثمارات والصادرات، والمساهمة في تمويل مشروع طرامواي الرباط - سلا.,1,1,0
w137,C1_msa_base,1,بلغت الرسوم المفروضة على الراجلين بالناضور 100 درهم.,1,1,0
w171,C1_msa_base,1,حي القيروانيين,1,1,0
w077,C1_msa_base,1,سلالة مكناس,1,1,0
w159,C1_msa_base,1,المشكل الأساسي للماء في قطاع الصناعة بالمغرب هو العقلانية في التدبير ومعالجة التلوث.,1,1,0
w131,C1_msa_base,1,اعتمدت سكان منطقة تاوريرت على تربية الماشية والزراعة البورية في معيشتهم.,1,1,0
w031,C1_msa_base,1,المساهمة المقدرة لقطاع الخدمات في الناتج المحلي الإجمالي سنة 2017 هي 56.5%.,1,1,0
w160,C1_msa_base,1,3312,1,1,0
w163,C1_msa_base,1,5 ديسمبر 1952,1,1,0
w048,C1_msa_base,1,تساهم في 75% من الصادرات الفلاحية.,1,1,0
w195,C1_msa_base,1,مهام الهيئة المغربية لسوق الرساميل تشمل حماية المدخرين والمستثمرين، مراقبة سير أسواق الرساميل، ضمان شفافية العمليات المالية، تنظيم المشاركين في السوق والأدوات المالية، تعزيز الثقافة المالية.,1,1,0
w013,C1_msa_base,1,استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب إلى غاية 31 دجنبر 2011.,1,1,0
w037,C1_msa_base,0,80%,0,0,0
w154,C1_msa_base,1,المقر الرئيسي لصندوق محمد السادس للاستثمار في مدينة الرباط.,1,1,0
w070,C1_msa_base,0,المعلومة غير متوفرة في النصوص,0,0,1
w196,C1_msa_base,1,الملك محمد السادس,1,1,0
w033,C1_msa_base,1,المغرب يحتل المرتبة 107 في إنتاجية القوى العاملة حسب تقرير منظمة العمل الدولية لسنة 2023.,1,1,0
w161,C1_msa_base,1,جِلد الإبل أو جِلد الماعز,1,1,0
w107,C1_msa_base,1,البنك المخزني قام بدور البنك المركزي إلى غاية سنة 1959.,1,1,0
