run,qid,condition,msa_query,darija_query,gold_answer,model_answer,llm_correct,human_correct
reranked_run,w112,C2_darija_e5,أين قطن سكان صفرو الأوائل؟,فين كانو ساكنين أول ناس ديال صفرو؟,قطنوا الكهوف والمغارات، مثل كهف المومن وكهف البقرة وكهف الغولة.,كان أول ساكنين لصفرو قبيلة أهل صفرو، وهي قبيلة أمازيغية يهودية اعتنقت الإسلام.,0,
reranked_run,w085,C5_darija_reranked,ما هي المشاكل التي تعاني منها مدينة مرزوكة؟,شنو هي المشاكل لي كتعاني منها مدينة مرزوكة؟,تعاني من نقص في قنوات الصرف الصحي وضعف الخدمات اللوجيستيكية.,مشكلة العزلة عن الخدمات الاجتماعية في بعض الأحياء البعيدة، مشاكل النظافة، قلة الموارد المائية، ناقلة المياه الجوفية، مشكلة الغياب المتكرر للأساتذة، وقلة المدارس.,0,
reranked_run,w044,C4_oracle,ما هي نسبة الفئة العمرية دون 15 سنة بإقليم خنيفرة؟,شحال هي نسبة الفئة العمرية لي أقل من 15 عام فإقليم خنيفرة؟,تشكل الفئة العمرية دون 15 سنة نسبة 24.5% من السكان.,24.5%,1,
reranked_run,w094,C5_darija_reranked,إلى أي نهر امتدت سيادة سلاطين المغرب حسب الحجج التاريخية؟,لأشمن واد وصلات السيادة ديال سلاطين المغرب حسب الحجج التاريخية؟,امتدت سيادتهم الروحية والزمنية إلى نهر السنغال.,حسب الحجج التاريخية، سيادة سلاطين المغرب الروحية والزمنية امتدت إلى نهر السنغال منذ فترة العلويين، عبر البعثات والسرايا والزيارات التفقدية إلى شنقيط (موريتانيا حاليًا).,1,
reranked_run,w017,C2_darija_e5,ما هي نسبة الطاقات الأحفورية من استهلاك الطاقة الأولية سنة 2015؟,شحال هي النسبة ديال الطاقات الأحفورية من استهلاك الطاقة الأولية فـ2015؟,"غطت الطاقات الأحفورية نسبة 88,8% من استهلاك الطاقة الأولية سنة 2015.","%f80,4 من استهلاك الطاقة الأولية في 2015 كان من الطاقات الأحفورية.",0,
reranked_run,w160,C4_oracle,كم بلغ عدد المنشورات بالعربية في الموسم 2018-2019؟,شحال وصل عدد المنشورات بالعربية فالموسم 2018-2019؟,بلغ 3312 منشورا بالعربية.,3312 منشورًا بالعربية، حسب إحصائيات الموسم 2018–2019.,1,
reranked_run,w060,C4_oracle,إلى أين رحلت السلطات الإسبانية القبائل الصحراوية سنة 1969؟,لفين رحلات السلطات الإسبانية القبائل الصحراوية فـ1969؟,رحلتها من إقليم الساقية الحمراء إلى إقليم واد نون في المغرب.,لرحلات السلطات الإسبانية القبائل الصحراوية فـ1969 كانت缘于西班牙殖民当局当年对这些部落进行了人口统计。,0,
reranked_run,w009,C4_oracle,كم بلغ معدل التضخم حسب تقرير البنك الدولي؟,شحال وصل معدل التضخم حسب التقرير ديال البنك الدولي؟,بقي معدل التضخم منخفضا عند نسبة 0.7%.,المعلومة غير متوفرة في النصوص,0,
reranked_run,w013,C4_oracle,إلى أي تاريخ استمر تبديل الأوراق البنكية المسحوبة في شبابيك بنك المغرب؟,حتى لإمتى بقا ممكن تبدل الأوراق البنكية القديمة فبنك المغرب؟,استمر تبديلها دون حدود بشبابيك بنك المغرب إلى غاية 31 دجنبر 2011.,حتى 31 دجنبر 2011 بقى ممكن تبدل الأوراق البنكية القديمة في بنك المغرب.,1,
reranked_run,w103,C2_darija_e5,ما هي أبرز أودية عين بني مطهر؟,شنو هوما أبرز الوديان ديال عين بني مطهر؟,واد الشارف وواد تبودة ووادي مسخسخة ووادي وزين.,أبرز الوديان في عين بني مطهر هي واد الشارف واد تبودة وادي مسخسخة وادي وزين.,1,
reranked_run,w166,C2_darija_e5,ما الذي قام به أسكيا خلال فترة حكمه؟,أش دار أسكيا فالفترة ديال الحكم ديالو؟,وضع الإصلاحات السياسية والاقتصادية في جميع أنحاء الإمبراطورية.,دار أسكيا أنشئت في عهد حكم أسكيا محمد، وازداد إنتاج العملات بشكل كبير تحت حكم أسكيا علي.,0,
reranked_run,w187,C1_msa_e5,متى حكم بطليموس الموريطاني؟,إمتى حكم بطليموس الموريطاني؟,حكم من 23 حتى وفاته في 40، كملك على موريطنية.,حكم بطليموس الموريطاني من 33 حتى 40 ميلادية.,0,
reranked_run,w011,C5_darija_reranked,كم بلغت نسبة البطالة لدى النساء حسب تقرير البنك الدولي؟,شحال وصلات نسبة البطالة عند النساء حسب تقرير البنك الدولي؟,بلغت نسبة البطالة لدى النساء 14.7%.,المعلومات غير متوفرة في النصوص,0,
reranked_run,w182,C1_msa_e5,ما هي الوجهة الرئيسية للمنتجات البحرية المجمدة المغربية؟,شنو هي الوجهة الرئيسية ديال المنتجات البحرية المجمدة المغربية؟,الاتحاد الأوروبي، إذ يستوعب 70% من إجمالي صادرات هذا النشاط.,الوجهة الرئيسية للمنتجات البحرية المجمدة المغربية هي الاتحاد الأوروبي.,1,
reranked_run,w026,C1_msa_e5,متى أمد المغرب إسبانيا بالكهرباء؟,إمتى المغرب عاون إسبانيا بالكهربا؟,أمدها بالكهرباء خلال الانقطاع الإيبيري لسنة 2025.,في سنة 2025 أمد المغرب إسبانيا بالكهرباء خلال الانقطاع الإيبيري.,0,
reranked_run,w185,C1_msa_e5,ما هي المدينة التي اتخذها يوبا الثاني عاصمة لحكمه؟,شنو هي المدينة لي دارها يوبا الثاني عاصمة ديال الحكم ديالو؟,اتخذ شرشال عاصمة لحكمه.,شرشال,1,
reranked_run,w009,C5_darija_reranked,كم بلغ معدل التضخم حسب تقرير البنك الدولي؟,شحال وصل معدل التضخم حسب التقرير ديال البنك الدولي؟,بقي معدل التضخم منخفضا عند نسبة 0.7%.,المعلومات غير متوفرة في النصوص,0,
reranked_run,w178,C5_darija_reranked,متى تم تأسيس مركز المغرب العربي للدراسات الاستراتيجية؟,إمتى تأسس مركز المغرب العربي للدراسات الاستراتيجية؟,تم تأسيسه في عام 1994.,1994,1,
reranked_run,w168,C5_darija_reranked,ما هو اسم الحصن الذي شيده المطغريون؟,شنو هي السمية ديال الحصن لي بناوه المطغريين؟,حصنهم المعروف باسم تاونت (الغزوات حاليا).,حصن تاونت (الغزوات حاليا) بناه المطغريون.,1,
reranked_run,w159,C2_darija_e5,ما هو المشكل الأساسي للماء في قطاع الصناعة بالمغرب؟,شنو هو المشكل الأساسي ديال الما فقطاع الصناعة فالمغرب؟,ليس التزود الذي يصل 100%، بل العقلانية في التدبير ومعالجة التلوث.,المشكل الأساسي في قطاع الصناعة المغربي هو الاعتماد الزائد على صادرات الفوسفاط، والتي تشكل أهم مورد معدني للمغرب، مما يجعله معرضاً للصدمات العالمية لأسعار هذه السلع.,0,
reranked_run,w015,C1_msa_e5,كيف تطور معدل التمدن في المغرب بين 1960 و2024؟,كيفاش تطور معدل التمدن فالمغرب ما بين 1960 و2024؟,"ارتفع معدل التمدن من 29% سنة 1960 إلى 62,8% سنة 2024.","معدل التمدن في المغرب تضاعف من 29% في 1960 إلى 62,8% في 2024.",1,
reranked_run,w097,C2_darija_e5,على ماذا نص اتفاق أبريل 2011 بخصوص الأجور؟,على أش نص اتفاق أبريل 2011 فيما يخص الأجور؟,نص على توحيد الحد الأدنى للأجور بين القطاعات الفلاحية وغير الفلاحية خلال ثلاث سنوات.,المعلومات غير متوفرة في النصوص,0,
reranked_run,w113,C4_oracle,أي بلدة مجاورة لصفرو ما زال بعض سكانها يستقرون في الكهوف؟,أشمن بلدة قريبة من صفرو باقي شي ناس فيها ساكنين فالكهوف؟,بلدة البهاليل المجاورة لمدينة صفرو.,نعم، سكان بعض سكان بلدة البهاليل المجاورة لل城区仍然居住在洞穴中。,0,
reranked_run,w096,C4_oracle,بموجب أي مرسوم تمت المصادقة على الزيادة الأخيرة في الأجر الفلاحي؟,بأشمن مرسوم تصادق على الزيادة الأخيرة فالأجر الفلاحي؟,بموجب المرسوم رقم 2.24.1122 في 26 ديسمبر 2024.,مرسوم 2.24.1122 في 26 ديسمبر 2024,1,
reranked_run,w091,C4_oracle,هل كان المغرب تحت السيادة العثمانية؟,واش المغرب كان تحت السيادة ديال العثمانيين؟,لا، لم تكن أبدا تحت السيادة الفعلية ولا الاسمية للأتراك العثمانيين وبقيت مستقلة عنهم.,المغرب لم يكن أبداً تحت السيادة الفعلية أو الاسمية للأتراك العثمانيين.,1,
reranked_run,w010,C1_msa_e5,إلى كم انخفض عجز الموازنة من إجمالي الناتج المحلي سنة 2017؟,لشحال نقص عجز الميزانية من الناتج المحلي فـ2017؟,انخفض عجز الموازنة إلى 3.5% من إجمالي الناتج المحلي في 2017.,降低了0.5个百分点从2016年的3.5%降至2017年的3.0% من إجمالي الناتج المحلي.,0,
reranked_run,w179,C5_darija_reranked,كم عدد وحدات صناعة التجميد في قطاع الصيد البحري؟,شحال ديال الوحدات كاينة فصناعة التجميد ديال الصيد البحري؟,يضم هذا النشاط 183 وحدة.,183 وحدة,1,
reranked_run,w079,C4_oracle,كم تبعد مدينة الحاجب عن مكناس؟,شحال بعيدة مدينة الحاجب على مكناس؟,تتواجد على مسافة 32 كلم جنوب مدينة مكناس.,مدينة الحاجب بعيدة عن مكناس بمسافة 32 كم.,0,
reranked_run,w127,C4_oracle,كم يبلغ ارتفاع سطات عن سطح البحر؟,شحال كيوصل الارتفاع ديال سطات على سطح البحر؟,يبلغ ارتفاعها حوالي 370 مترا.,ارتفاع سطات عن سطح البحر حوالي 370 مترا.,1,
reranked_run,w027,C1_msa_e5,ما هي نسبة الفحم في توليد الكهرباء بالمغرب؟,شحال هي النسبة ديال الفحم فإنتاج الكهربا فالمغرب؟,"يمثل الفحم نسبة 54,3% من توليد الكهرباء.",80% من الفحم يستخدم في توليد الكهرباء بالمغرب.,0,
reranked_run,w062,C4_oracle,في عهد أي رئيس أمريكي بدأت الحرب؟,فعهد أشمن رئيس أمريكي بدات الحرب؟,بدأت في عهد توماس جيفرسون عندما رفض دفع الجزية.,عهد توماس جيفرسون بدأ الحرب.,0,
reranked_run,w062,C1_msa_e5,في عهد أي رئيس أمريكي بدأت الحرب؟,فعهد أشمن رئيس أمريكي بدات الحرب؟,بدأت في عهد توماس جيفرسون عندما رفض دفع الجزية.,في عهد الرئيس توماس جيفرسون بدأت الحرب.,1,
reranked_run,w003,C5_darija_reranked,ما هي نسبة الطاقات المتجددة في توليد الكهرباء بالمغرب؟,شحال هي النسبة ديال الطاقات المتجددة فإنتاج الكهربا فالمغرب؟,"تساهم الطاقات المتجددة بنسبة 19,6% موزعة على الكهرومائية 7,3% والريحية 8,1% وأخرى 4,2%.","13,6%",0,
reranked_run,w066,C1_msa_e5,هل عرفت القبائل الأمازيغية شكلا من أشكال الاتحاد الكونفدرالي؟,واش القبائل الأمازيغية عرفات شي نوع ديال الاتحاد الكونفدرالي؟,لا، لم تعرف القبائل الأمازيغية أي شكل من أشكال الاتحاد الكونفدرالي.,المعلومة غير متوفرة في النصوص,0,
reranked_run,w053,C2_darija_e5,من كم نوع من السلطات تتكون المزة في مطبخ يهود المغرب؟,من شحال ديال النوع ديال السلطة كتتكون المزة فالمطبخ ديال يهود المغرب؟,تتكون المزة من 6 إلى 8 أنواع من السلطات.,السلطة في المطبخ اليهودي المغربي تستخدم طيفًا واسعًا من الخضروات، منها البطاطس والقرع والجزر والبصل الأخضر والبصل والفول والبازلاء والشمر والكرفس والخرشوف والباذنجان والطماطم والقرنبيط والفاصوليا الخضراء والبيضاء والفلفل الحلو والحار والكوسا والزيتون.,1,
reranked_run,w061,C1_msa_e5,متى أُرسل الأسطول البحري الأمريكي في بداية الحرب؟,إمتى تصيفط الأسطول البحري الأمريكي فبداية الحرب؟,تم إرساله في 13 مايو 1801 تحت قيادة العميد البحري ريتشارد ديل.,أرسل الأسطول البحري الأمريكي في بداية الحرب في مايو 1801.,0,
reranked_run,w043,C5_darija_reranked,كم بلغ عدد سكان جماعة خنيفرة سنة 2024؟,شحال وصل عدد سكان جماعة خنيفرة فـ2024؟,"ارتفع عدد السكان إلى 123,738 نسمة حسب إحصاء 2024.","وصل عدد سكان جماعة خنيفرة في 2024 إلى 123,738 نسمة.",1,
reranked_run,w169,C4_oracle,كم عدد التجار العرب الذين استقبلهم السلطان بفاس عام 825؟,شحال ديال التجار العرب استقبل السلطان ففاس فـ825؟,استقبل نحو 2٬000 من التجار العرب القادمين من القيروان في تونس.,حوالي 2000 تاجر عربي استقبلهم السلطان في فاس.,1,
reranked_run,w119,C2_darija_e5,كم تبلغ المساحة الإجمالية للقصبة المخزنية بتزنيت وكم عدد أبراجها؟,شحال كتوصل المساحة ديال القصبة المخزنية فتزنيت وشحال ديال الأبراج فيها؟,تبلغ مساحتها الإجمالية 6704 م² وعدد أبراجها 5.,مساحة القصبة المخزنية بزنيت 6704 م²، وتبلغ عدد أبراجها 5 أبراج.,1,
reranked_run,w019,C5_darija_reranked,كم بلغت نسبة صادرات الفوسفاط ومشتقاته من مجموع الصادرات عام 2003؟,شحال وصلات نسبة صادرات الفوسفاط من مجموع الصادرات فـ2003؟,"بلغت 15% من مجموع الصادرات عام 2003 مقابل 14,8% سنة 2002.",52%,0,
reranked_run,w150,C1_msa_e5,بماذا تشتهر مدينة أصيلة؟,بأش مشهورة مدينة أصيلة؟,تشتهر بالقصبة التاريخية وأسوارها وأبوابها المصنفة كتراث وطني، وبمهرجانها الثقافي الدولي.,مدينة أصيلة تشتهر بالقصبة التاريخية وأسوارها وأبوابها المصنفة كتراث وطني، وبمهرجانها الثقافي الدولي الذي يقام كل صيف.,1,
reranked_run,w155,C2_darija_e5,في أي سياق أُعلن عن صندوق محمد السادس للاستثمار؟,فأشمن سياق تعلن على صندوق محمد السادس للاستثمار؟,أُعلن عنه في عام 2020 في سياق تدابير الإنعاش الاقتصادي بعد جائحة كوفيد-19.,أُعلن عن إحداث صندوق محمد السادس للاستثمار في يوليوز 2020، وتم اعتماد مشروع القانون رقم 76-20 في نفس العام.,1,
reranked_run,w086,C2_darija_e5,متى تم افتتاح المنطقة الحرة الأطلسية؟,إمتى تفتحات المنطقة الحرة الأطلسية؟,تم افتتاحها سنة 2012 في إطار مخطط التسريع الصناعي للمغرب.,تم فتحة المنطقة الحرة الأطلسية سنة 2012.,1,
reranked_run,w006,C4_oracle,كم بلغ معدل البطالة على المستوى الوطني خلال الفصل الثاني من سنة 2025؟,شحال وصل معدل البطالة على الصعيد الوطني فالفصل الثاني ديال 2025؟,"استقر معدل البطالة عند 12,8% خلال الفصل الثاني من سنة 2025.",معدل البطالة على الصعيد الوطني في الفصل الثاني من سنة 2025 وصل إلى 12.8%.,1,
reranked_run,w006,C2_darija_e5,كم بلغ معدل البطالة على المستوى الوطني خلال الفصل الثاني من سنة 2025؟,شحال وصل معدل البطالة على الصعيد الوطني فالفصل الثاني ديال 2025؟,"استقر معدل البطالة عند 12,8% خلال الفصل الثاني من سنة 2025.",12.8%,1,
reranked_run,w190,C1_msa_e5,لماذا تخوف المغاربة من القانون التشريعي الذي أعلنته الإدارة الفرنسية؟,علاش تخافو المغاربة من القانون لي أعلناتو الإدارة الفرنسية؟,لكونه يقسم المغرب إلى عالمين متمايزين ومنفصلين: عالم العرب وعالم البربر.,تخوف المغاربة من القانون التشريعي الفرنسي因其可能将 Morocco 分割成两个截然不同的世界，一个以阿拉伯语为主，另一个仅使用阿非利加语（Amazigh），这加剧了民族间的隔阂和对立。,1,
