encoder,subset,alpha,metric,gap,lo,hi,significant
GATE-AraBert-v1,wikipedia,0.6,R@1,0.13,0.075,0.19,yes
GATE-AraBert-v1,wikipedia,0.6,R@5,0.055,0.015,0.1,yes
GATE-AraBert-v1,wikipedia,0.6,MRR,0.1089345238095238,0.06915287698412699,0.15160808531746028,yes
GATE-AraBert-v1,pilot,0.6,R@1,0.15,0.10333333333333333,0.2,yes
GATE-AraBert-v1,pilot,0.6,R@5,0.08666666666666667,0.04991666666666667,0.12333333333333334,yes
GATE-AraBert-v1,pilot,0.6,MRR,0.12333994708994708,0.08578468915343916,0.15976392195767197,yes
Arabic-Triplet-Matryoshka-V2,wikipedia,0.4,R@1,0.165,0.105,0.23,yes
Arabic-Triplet-Matryoshka-V2,wikipedia,0.4,R@5,0.095,0.044875000000000005,0.145,yes
Arabic-Triplet-Matryoshka-V2,wikipedia,0.4,MRR,0.13999404761904763,0.09370372023809524,0.18777425595238095,yes
Arabic-Triplet-Matryoshka-V2,pilot,0.4,R@1,0.14,0.09,0.19,yes
Arabic-Triplet-Matryoshka-V2,pilot,0.4,R@5,0.07666666666666666,0.03991666666666667,0.11333333333333333,yes
Arabic-Triplet-Matryoshka-V2,pilot,0.4,MRR,0.11685714285714288,0.07612691798941798,0.15739146825396824,yes
Arabert-all-nli-triplet-Matryoshka,wikipedia,0.6,R@1,0.12,0.06,0.18012499999999987,yes
Arabert-all-nli-triplet-Matryoshka,wikipedia,0.6,R@5,0.09,0.04,0.14,yes
Arabert-all-nli-triplet-Matryoshka,wikipedia,0.6,MRR,0.11096428571428571,0.06728283730158731,0.15710758928571428,yes
Arabert-all-nli-triplet-Matryoshka,pilot,0.6,R@1,0.14,0.09,0.18674999999999994,yes
Arabert-all-nli-triplet-Matryoshka,pilot,0.6,R@5,0.056666666666666664,0.02666666666666667,0.09,yes
Arabert-all-nli-triplet-Matryoshka,pilot,0.6,MRR,0.10508730158730159,0.07121167328042328,0.13671266534391535,yes
multilingual-e5-base,wikipedia,0.8,R@1,0.135,0.09,0.185,yes
multilingual-e5-base,wikipedia,0.8,R@5,0.045,0.005,0.085,yes
multilingual-e5-base,wikipedia,0.8,MRR,0.09592460317460316,0.062017013888888896,0.13077564484126986,yes
multilingual-e5-base,pilot,0.8,R@1,0.18666666666666668,0.13666666666666666,0.23333333333333334,yes
multilingual-e5-base,pilot,0.8,R@5,0.12,0.08333333333333333,0.16,yes
multilingual-e5-base,pilot,0.8,MRR,0.15657539682539684,0.11769527116402118,0.19611527777777776,yes
